536, 397, 536, 291
526, 362, 535, 285
525, 371, 537, 291
518, 366, 536, 286
516, 368, 536, 285
549, 437, 535, 307
513, 360, 535, 284
543, 363, 537, 289
559, 408, 533, 306
562, 430, 530, 305
530, 355, 535, 290
524, 348, 533, 286
544, 403, 531, 296
549, 427, 529, 305
499, 335, 528, 275
470, 337, 528, 276
461, 334, 527, 272
508, 392, 523, 297
511, 411, 525, 302
458, 328, 525, 271
460, 324, 523, 274
508, 408, 524, 305
510, 416, 521, 305
454, 323, 520, 282
451, 322, 519, 281
446, 314, 514, 276
492, 381, 515, 302
438, 318, 515, 280
436, 311, 512, 275
433, 319, 514, 287
476, 390, 512, 305
474, 393, 511, 306
414, 316, 510, 293
407, 309, 507, 290
406, 314, 507, 289
459, 393, 507, 310
394, 306, 501, 290
397, 314, 503, 298
391, 311, 502, 298
450, 389, 501, 312
384, 313, 500, 293
384, 307, 496, 303
380, 310, 495, 307
425, 372, 495, 319
438, 393, 497, 329
379, 317, 496, 319
371, 315, 494, 321
423, 372, 493, 334
462, 410, 499, 346
377, 317, 499, 337
374, 319, 497, 343
366, 320, 495, 352
427, 398, 496, 364
367, 322, 497, 358
368, 323, 499, 367
366, 320, 501, 369
428, 393, 505, 386
372, 324, 506, 391
377, 335, 508, 391
383, 341, 512, 396
380, 339, 511, 402
440, 429, 513, 416
378, 344, 513, 414
374, 339, 511, 420
5, 353, 517, 431
449, 381, 514, 438
372, 356, 519, 436
383, 363, 522, 443
4, 364, 522, 447
137, 425, 522, 453
5, 373, 526, 455
5, 370, 524, 454
4, 374, 526, 456
4, 374, 526, 457
135, 383, 525, 458
5, 371, 530, 460
4, 377, 533, 463
131, 436, 535, 463
139, 459, 539, 466
4, 398, 544, 465
4, 406, 549, 467
448, 409, 551, 466
494, 460, 548, 465
7, 417, 555, 466
7, 415, 555, 466
467, 420, 558, 467
484, 468, 554, 468
497, 435, 560, 460
461, 428, 561, 458
462, 428, 562, 457
463, 428, 561, 457
522, 487, 560, 464
381, 442, 564, 471
384, 445, 564, 476
397, 451, 564, 482
167, 497, 556, 481
14, 455, 563, 485
14, 456, 563, 488
13, 456, 562, 486
119, 461, 561, 488
14, 459, 563, 488
13, 460, 563, 491
373, 469, 565, 492
471, 477, 566, 496
534, 524, 559, 494
371, 482, 567, 497
353, 482, 567, 496
363, 483, 568, 496
398, 523, 561, 488
357, 478, 567, 488
531, 488, 567, 488
525, 489, 567, 483
526, 486, 567, 481
525, 489, 568, 481
524, 489, 568, 480
525, 492, 567, 480
525, 493, 567, 482
552, 534, 557, 471
527, 493, 563, 476
528, 496, 563, 476
526, 496, 561, 478
559, 529, 554, 479
534, 494, 559, 481
533, 494, 558, 482
531, 501, 557, 490
555, 535, 550, 492
527, 502, 554, 496
523, 503, 552, 500
520, 502, 550, 502
517, 504, 548, 507
547, 546, 540, 502
517, 503, 543, 505
512, 503, 540, 508
508, 505, 537, 511
544, 539, 532, 508
506, 503, 533, 514
502, 503, 529, 516
501, 503, 528, 518
534, 543, 518, 514
497, 501, 522, 518
498, 498, 521, 519
495, 495, 520, 521
523, 517, 518, 518
531, 536, 515, 514
494, 499, 516, 519
495, 506, 517, 519
494, 505, 516, 520
524, 530, 513, 514
495, 493, 512, 513
493, 486, 511, 520
494, 501, 512, 520
523, 533, 510, 514
493, 504, 509, 520
494, 503, 510, 518
494, 500, 509, 521
493, 495, 508, 520
494, 525, 507, 516
494, 501, 504, 513
493, 511, 504, 510
494, 511, 504, 511
521, 537, 503, 507
493, 512, 504, 512
494, 512, 503, 513
493, 511, 501, 511
530, 541, 503, 509
501, 512, 508, 509
503, 512, 509, 507
505, 512, 511, 507
504, 508, 510, 507
505, 517, 511, 507
506, 519, 512, 507
505, 519, 512, 507
506, 520, 513, 507
506, 520, 513, 507
506, 520, 512, 506
507, 520, 512, 507
506, 520, 512, 506
507, 520, 512, 506
506, 521, 511, 507
505, 520, 511, 506
506, 520, 512, 507
506, 519, 512, 507
505, 518, 512, 505
507, 518, 513, 506
506, 501, 512, 505
506, 510, 512, 505
507, 512, 513, 505
506, 511, 512, 504
507, 513, 512, 505
507, 517, 513, 504
506, 517, 512, 504
507, 518, 513, 504
507, 518, 513, 504
506, 518, 512, 503
507, 518, 513, 501
506, 521, 513, 506
506, 521, 513, 506
507, 521, 514, 507
506, 521, 513, 507
508, 520, 513, 507
507, 520, 513, 507
506, 519, 513, 506
508, 520, 514, 507
507, 520, 513, 507
506, 520, 513, 506
508, 520, 514, 507
507, 520, 513, 507
507, 520, 514, 507
508, 520, 514, 507
506, 519, 513, 507
508, 519, 514, 507
507, 517, 514, 507
506, 516, 513, 506
508, 521, 514, 507
507, 521, 514, 507
507, 519, 513, 507
507, 517, 514, 507
507, 517, 513, 507
508, 518, 513, 507
507, 518, 514, 507
506, 518, 513, 507
508, 518, 514, 507
507, 519, 513, 507
506, 523, 513, 507
508, 523, 514, 507
506, 524, 514, 507
507, 524, 513, 507
507, 524, 514, 507
506, 524, 514, 507
508, 524, 514, 507
507, 524, 514, 507
507, 524, 513, 506
508, 524, 514, 507
507, 524, 514, 506
508, 524, 514, 507
508, 525, 515, 507
506, 524, 514, 507
507, 524, 515, 507
508, 525, 514, 507
506, 524, 514, 506
508, 524, 515, 507
508, 524, 514, 507
507, 524, 514, 506
508, 524, 514, 507
507, 524, 514, 506
508, 524, 515, 506
507, 524, 515, 506
507, 524, 514, 506
508, 525, 514, 507
